Prenom,Nom,Matricule,Company,Departement,City,Office,Fonction,Manager,Telephone
Carlos,Alvarez,U00009,Pharmgreen,Communication,Lyon,Relation Publique et Presse,Chargé en droit de la communication,Alexandre Chevalier,0617625864
Pauline,Blanc,U00016,Pharmgreen,Communication,Lyon,Publicité,Publicitaire,Luca Rizzo,0725602768
Alexandre,Chevalier,U00028,Pharmgreen,Communication,Lyon,Relation Publique et Presse,Responsable relation média,Valentina Ferrari,0776144596
Valentina,Ferrari,U00051,,Communication,Lyon,-,Directrice communication,Kelly Arnaud,0666052403
Léa,Gagnon-Leclercq,U00059,Pharmgreen,Communication,Lyon,Relation Publique et Presse,Chargé de presse,Alexandre Chevalier,0728712373
Charlotte,Giroux,U00070,Pharmgreen,Communication,Lyon,Publicité,Webmaster,Luca Rizzo,0776098470
Felix,Hoffmann,U00078,Pharmgreen,Communication,Lyon,Publicité,Designer graphique,Luca Rizzo,0757867820
Valérie,Houddin,U00079,Pharmgreen,Communication,Lyon,Publicité,Designer graphique,Luca Rizzo,0788510223
Ariane,Kaine,U00087,Kamera,Communication,Lyon,Publicité,Caméraman,Luca Rizzo,-
Jean-Henri,Lambert,U00094,Pharmgreen,Communication,Lyon,Publicité,Photographe,Luca Rizzo,0733857081
Elodie,Le Boucher,U00099,Pharmgreen,Communication,Lyon,Publicité,Publicitaire,Luca Rizzo,0682347056
Amélie,Le Fournil,U00100,Pharmgreen,Communication,Lyon,Publicité,Publicitaire,Luca Rizzo,0639019377
Jean,Maire,U00128,Kamera,Communication,Lyon,Publicité,Réalisateur,Luca Rizzo,0645220384
Jean-Pascal,Millith,U00140,Kamera,Communication,Lyon,Publicité,Ingénieur son,Luca Rizzo,-
Giovanni,Moretti,U00143,Pharmgreen,Communication,Lyon,Publicité,Publicitaire,Luca Rizzo,0771068451
Virginie,Perrin,U00157,Pharmgreen,Communication,Lyon,Relation Publique et Presse,Chargé de communication,Alexandre Chevalier,0767977011
Noémie,Pichonnet,U00165,Pharmgreen,Communication,Lyon,Publicité,Publicitaire,Luca Rizzo,0789291227
Marco,Ricci,U00174,Pharmgreen,Communication,Lyon,Publicité,Publicitaire,Luca Rizzo,0749269032
Luca,Rizzo,U00176,Pharmgreen,Communication,Lyon,Publicité,Responsable publicité,Valentina Ferrari,0627924335
Lukas,Rousseau,U00180,Pharmgreen,Communication,Lyon,Gestion des Marques,photographe,Luca Rizzo,0450201741
Gaetan,Roussel,U00182,Pharmgreen,Communication,Lyon,Gestion des Marques,Webmaster,Luca Rizzo,-
Adrian,Schultz,U00191,Pharmgreen,Communication,Lyon,Relation Publique et Presse,Chargé de presse,Alexandre Chevalier,0796563135
Salma,Singh,U00195,Pharmgreen,Communication,Lyon,Relation Médias,Rédacteur,Alexandre Chevalier,-
Elsa,Tashi,U00203,Pharmgreen,Communication,Lyon,Relation Médias,Rédacteur,Alexandre Chevalier,-
Nadège,Rouiller,U00179,Pharmgreen,Dev Logiciel,Lyon,Analyse et Conception,Développeur,Raj Traoré,-
Sacha,Sacha-David,U00187,Pharmgreen,Dev Logiciel,Lyon,Analyse et Conception,Développeur,Raj Traoré,-
Elena,Sánchez,U00188,Pharmgreen,Dev Logiciel,Lyon,Test et Qualité,Responsable Test et Qualité,Kelly Arnaud,-
Benjamin,Schmitt,U00189,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Julia,Schneider,U00190,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Abdou,Selim,U00192,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Eva,Simonet,U00194,Pharmgreen,Dev Logiciel,Lyon,Test et Qualité,Développeur,Elena Sánchez,-
Zoe,Smith,U00197,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Hiroshi,Sow,U00199,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Kaito,Takahashi,U00200,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Adam,Thomas,U00204,Pharmgreen,Dev Logiciel,Lyon,Analyse et Conception,Développeur,Raj Traoré,-
Raj,Traoré,U00206,Pharmgreen,Dev Logiciel,Lyon,Développement,Responsable dev,Kelly Arnaud,-
Zineb,Verma,U00208,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
David,Vidal,U00209,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Maximilian,Wagner,U00211,Pharmgreen,Dev Logiciel,Lyon,Test et Qualité,Développeur,Elena Sánchez,-
Hao,Wang,U00212,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Anya,Yamada,U00213,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Aurélie,Yosef,U00214,Pharmgreen,Dev Logiciel,Lyon,Développement,Développeur,Raj Traoré,-
Quentin,Blanchard,U00017,Pharmgreen,Direction Financière,Lyon,Contrôle de Gestion,Contrôleur de gestion,Aurélie Petit,-
Estelle,Dubois--Melun,U00040,Pharmgreen,Direction Financière,Lyon,Service Comptabilité,Comptable,Aurélie Petit,-
Louisa,Dupont,U00044,Pharmgreen,Direction Financière,Lyon,Contrôle de Gestion,Contrôleur de gestion,Aurélie Petit,-
Zoé,Dupuis,U00046,Pharmgreen,Direction Financière,Lyon,Contrôle de Gestion,Contrôleur de gestion,Aurélie Petit,-
Anaïs,Fontaine,U00052,Pharmgreen,Direction Financière,Lyon,Contrôle de Gestion,Contrôleur de gestion,Aurélie Petit,-
Romain,Gauthier,U00066,Pharmgreen,Direction Financière,Lyon,Service Comptabilité,Comptable,Aurélie Petit,-
Justinia,Lafontaine,U00092,Pharmgreen,Direction Financière,Lyon,Finance,Analyste financier,Aurélie Petit,-
Victor,Lemoine-Franquin,U00115,Pharmgreen,Direction Financière,Lyon,Finance,Analyste financier,Aurélie Petit,-
Gabriel,Mercier,U00137,Pharmgreen,Direction Financière,Lyon,Finance,Analyste financier,Aurélie Petit,-
Leon,Müller,U00148,Pharmgreen,Direction Financière,Lyon,Finance,Analyste financier,Aurélie Petit,-
Morgane,Palaiseau,U00154,Pharmgreen,Direction Financière,Lyon,Finance,Analyste financier,Aurélie Petit,-
Aurélie,Petit,U00161,Pharmgreen,Direction Financière,Lyon,Finance,DAF,Kelly Arnaud,0755275775
Eva,Reyer,U00173,Pharmgreen,Direction Financière,Lyon,Contrôle de Gestion,Contrôleur de gestion,Aurélie Petit,-
Mathieu,Roux,U00184,Pharmgreen,Direction Financière,Lyon,Service Comptabilité,Comptable,Aurélie Petit,-
Gilles,Faure,U00049,Pharmgreen,Direction Générale,Lyon,-,CEO,#REF!,0702448459
Fanny,Garnier,U00065,Pharmgreen,Direction Générale,Lyon,-,Assistant de direction,Émile Legrand,0612078045
Juliette,Guerin,U00073,Pharmgreen,Direction Générale,Lyon,-,Secrétaire,Gilles Faure,0676933767
Laure,Henry,U00075,Pharmgreen,Direction Générale,Lyon,-,Assistant de direction,Gilles Faure,0606523189
Mia,Heschklaesh,U00077,Pharmgreen,Direction Générale,Lyon,-,Secrétaire,Émile Legrand,0656297307
Émile,Legrand,U00113,Pharmgreen,Direction Générale,Lyon,-,Directeur adjoint,Gilles Faure,0668784704
Kévin,Muller,U00147,Pharmgreen,Direction Générale,Lyon,-,Assistant de direction,Gilles Faure,0632826644
Hélène,Rousseau,U00181,Pharmgreen,Direction Générale,Lyon,-,Assistant de direction,Émile Legrand,0798576239
Édouard,Boulanger,U00020,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Chargé de promotion,Justine Gallet,0699850248
Vanessa,Boyer,U00021,Pharmgreen,Direction Marketing,Lyon,Marketing Stratégique,Analyste marketing,Amaury Meyer,0637936280
Danielle,Carpentier,U00024,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Chargé de promotion,Justine Gallet,0674484733
Sylvie,Charpentier,U00025,Pharmgreen,Direction Marketing,Lyon,Marketing Digital,Responsable marketing digital,Brigitte Lucas,0609992482
Kylian,Chauvin,U00026,Pharmgreen,Direction Marketing,Lyon,Marketing Produit,Chef de produit,Paulette Huet,0735615585
Ulrich,Da Silva,U00031,Pharmgreen,Direction Marketing,Lyon,Marketing Digital,Content manager,Sylvie Charpentier,0760489146
Rémi,Deschamps,U00037,Pharmgreen,Direction Marketing,Lyon,Marketing Digital,Community manager,Sylvie Charpentier,0777610318
Gaël,Du Garnier,U00038,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Assistant marketing,Justine Gallet,0616096309
Charles,Fernandez,U00050,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Chargé de promotion,Justine Gallet,0632850032
Justine,Gallet,U00060,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Responsable Marketing Operationnel,Brigitte Lucas,0689838313
Paulette,Huet,U00081,Pharmgreen,Direction Marketing,Lyon,Marketing Produit,Responsable de gamme,Brigitte Lucas,0791316893
Igor,Lapierre,U00096,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Coordinateur Marketing,Justine Gallet,0787838091
Xena,Leblanc,U00104,Pharmgreen,Direction Marketing,Lyon,Marketing Stratégique,Analyste marketing,Amaury Meyer,0752205346
Flore,Leclercq,U00109,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Chef de projet,Justine Gallet,0629601834
Brigitte,Lucas,U00126,Pharmgreen,Direction Marketing,Lyon,-,Directeur Marketing,Kelly Arnaud,0798083548
Walter,Maillard,U00127,Pharmgreen,Direction Marketing,Lyon,Marketing Stratégique,Analyste marketing,Amaury Meyer,0785225605
Olivier,Marechal,U00130,Pharmgreen,Direction Marketing,Lyon,Marketing Produit,Gestionaire de marque,Paulette Huet,0763563050
Tristan,Marie,U00131,Pharmgreen,Direction Marketing,Lyon,Marketing Digital,Analyste web,Sylvie Charpentier,0648458518
Amaury,Meyer,U00138,Pharmgreen,Direction Marketing,Lyon,Marketing Stratégique,Chef de produit Stratégique,Brigitte Lucas,0669097724
Hortense,Morvan,U00146,Pharmgreen,Direction Marketing,Lyon,Marketing Opérationnel,Assistant marketing,Justine Gallet,0793763664
Nina,Pichon,U00164,Pharmgreen,Direction Marketing,Lyon,Marketing Produit,Chef de produit,Paulette Huet,0613794690
Aisha,Abdullah,U00006,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Nora,Al-Hassan,U00008,Pharmgreen,R&D,Lyon,Laboratoire,Responsable Laboratoire,Kelly Arnaud,0694122527
Xander,Bailly,U00012,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Kai,Chen,U00027,Pharmgreen,R&D,Lyon,Laboratoire,Laborantin,Nora Al-Hassan,-
Lupe,Da Silva Del Esperanza,U00033,Pharmgreen,R&D,Lyon,Laboratoire,Laborantin,Nora Al-Hassan,-
Yolande,De Richemond,U00036,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
Youssef,El Amrani,U00048,Pharmgreen,R&D,Lyon,Innovation et Stratégie,Chercheur,Sofia Rodriguez,-
