Matricule,Telephone,Ipphone
U00005,0699164527,10005
U00006,0,10006
U00007,0604266370,10007
U00008,0694122527,10008
U00009,0617625864,10009
U00010,0770673819,10010
U00011,0731355860,10011
U00012,0,10012
U00013,0,10013
U00014,0631423219,10014
U00015,0785401077,10015
U00016,0725602768,10016
U00017,0,10017
U00018,0,10018
U00019,0,10019
U00020,0699850248,10020
U00021,0637936280,10021
U00022,0,10022
U00023,0,10023
U00024,0674484733,10024
U00025,0609992482,10025
U00026,0735615585,10026
U00027,0,10027
U00028,0776144596,10028
U00029,0773550482,10029
U00030,0,10030
U00031,0760489146,10031
U00032,0766638327,10032
U00033,0,10033
U00034,0,10034
U00035,0791275326,10035
U00036,0,10036
U00037,0777610318,10037
U00038,0616096309,10038
U00039,0611551242,10039
U00040,0,10040
U00041,0768119524,10041
U00042,0681305279,10042
U00043,0,10043
U00044,0,10044
U00045,0710917834,10045
U00046,0,10046
U00047,0676900215,10047
U00048,0,10048
U00049,0702448459,10049
U00050,0632850032,10050
U00051,0666052403,10051
U00052,0,10052
U00053,0,10053
U00054,0753814244,10054
U00055,0705492767,10055
U00056,0,10056
U00057,0701519889,10057
U00058,0,10058
U00059,0728712373,10059
U00060,0689838313,10060
U00061,0740080910,10061
U00062,0686992516,10062
U00063,0,10063
U00064,0723385865,10064
U00065,0612078045,10065
U00066,0,10066
U00067,0,10067
U00068,0718755210,10068
U00069,0,10069
U00070,0776098470,10070
U00071,0,10071
U00072,0764635179,10072
U00073,0676933767,10073
U00074,0665661105,10074
U00075,0606523189,10075
U00076,0,10076
U00077,0656297307,10077
U00078,0757867820,10078
U00079,0788510223,10079
U00080,0655179627,10080
U00081,0791316893,10081
U00082,0,10082
U00083,0,10083
U00084,0,10084
U00085,0733632584,10085
U00086,0,10086
U00087,0,10087
U00088,0,10088
U00089,0698556201,10089
U00090,0,10090
U00091,0696681410,10091
U00092,0,10092
U00093,0633376803,10093
U00094,0733857081,10094
U00095,0602772816,10095
U00096,0787838091,10096
U00097,0668251481,10097
U00098,0754982135,10098
U00099,0682347056,10099
U00100,0639019377,10100
U00101,0752201129,10101
U00102,0630771729,10102
U00103,0635913014,10103
U00104,0752205346,10104
U00105,0,10105
U00106,0647307941,10106
U00107,0,10107
U00108,0,10108
U00109,0629601834,10109
U00110,0779466973,10110
U00111,0681608883,10111
U00112,0744720692,10112
U00113,0668784704,10113
U00114,0,10114
U00115,0,10115
U00116,0,10116
U00117,0698121096,10117
U00118,0,10118
U00119,0686781565,10119
U00120,0799311104,10120
U00121,0,10121
U00122,0,10122
U00123,0778840637,10123
U00124,0,10124
U00125,0788960245,10125
U00126,0798083548,10126
U00127,0785225605,10127
U00128,0645220384,10128
U00129,0689914715,10129
U00130,0763563050,10130
U00131,0648458518,10131
U00132,0725806448,10132
U00133,0792624936,10133
U00134,0634335136,10134
U00135,0685410356,10135
U00136,0,10136
U00137,0,10137
U00138,0669097724,10138
U00139,0612044334,10139
U00140,0,10140
U00141,0737563611,10141
U00142,0764889123,10142
U00143,0771068451,10143
U00144,0,10144
U00145,0743570154,10145
U00146,0793763664,10146
U00147,0632826644,10147
U00148,0,10148
U00149,0,10149
U00150,0,10150
U00151,0,10151
U00152,0,10152
U00153,0665247366,10153
U00154,0,10154
U00155,0,10155
U00156,0,10156
U00157,0767977011,10157
U00158,0,10158
U00159,0,10159
U00160,0734782819,10160
U00161,0755275775,10161
U00162,0724827047,10162
U00163,0,10163
U00164,0613794690,10164
U00165,0789291227,10165
U00166,0,10166
U00167,0,10167
U00168,0675781283,10168
U00169,0702281809,10169
U00170,0,10170
U00171,0,10171
U00172,0,10172
U00173,0,10173
U00174,0749269032,10174
U00175,0625993239,10175
U00176,0627924335,10176
U00177,0635656037,10177
U00178,0667856189,10178
U00179,0,10179
U00180,0,10180
U00181,0798576239,10181
U00182,0,10182
U00183,0704322288,10183
U00184,0,10184
U00185,0,10185
U00186,0730476005,10186
U00187,0,10187
U00188,0,10188
U00189,0,10189
U00190,0,10190
U00191,0796563135,10191
U00192,0,10192
U00193,0615375578,10193
U00194,0,10194
U00195,0,10195
U00196,0,10196
U00197,0,10197
U00198,0686930017,10198
U00199,0,10199
U00200,0,10200
U00201,0603807402,10201
U00202,0,10202
U00203,0,10203
U00204,0,10204
U00205,0611737329,10205
U00206,0,10206
U00207,0729966375,10207
U00208,0,10208
U00209,0,10209
U00210,0749174856,10210
U00211,0,10211
U00212,0,10212
U00213,0,10213
U00214,0,10214
U00215,0698997028,10215
U00001,0,10001
U00002,0,10002
U00003,0,10003
U00004,0,10004
